refrigerant,outdoor_temp_C,condenser_approach_C,T_cond_C,COP,compressor_work_kJ_kg,pressure_ratio,critical_margin_C,warnings
R134a,35,8,43,5.227799258382943,29.764420455363346,2.6552508369938357,58.061966584951335,
R134a,36,8,44,5.042477225917644,30.564323994480247,2.7257502170241428,57.061966584951335,
R134a,37,8,45,4.86734560125248,31.35846347156656,2.7976443495354397,56.061966584951335,
R134a,38,8,46,4.701548777487502,32.14686074639327,2.870951514999188,55.061966584951335,
R134a,39,8,47,4.5443234770574215,32.92953789184679,2.945690171336127,54.061966584951335,
R134a,40,8,48,4.394986595621035,33.70651720893086,3.021878960766941,53.061966584951335,
R134a,41,8,49,4.252924915710145,34.477821243208545,3.0995367171437858,52.061966584951335,
R134a,42,8,50,4.117586362904028,35.24347280273208,3.178682473798591,51.061966584951335,
R134a,43,8,51,3.988472541136309,36.003494977570604,3.259335471947357,50.061966584951335,
R134a,44,8,52,3.8651323339128436,36.757911161015855,3.341515169693503,49.061966584951335,
R134a,45,8,53,3.747156397884161,37.5067450725633,3.425241251677576,48.061966584951335,
R134a,46,8,54,3.6341724067676697,38.250020782782755,3.510533639425169,47.061966584951335,
R134a,47,8,55,3.525840928857517,38.98776274019421,3.5974125024505255,46.061966584951335,
R134a,48,8,56,3.4218518416631074,39.71999580027163,3.685898270178836,45.061966584951335,
R134a,49,8,57,3.3219212036310575,40.446745256719296,3.776011644757127,44.061966584951335,
R134a,50,8,58,3.22578851624342,41.1680368751646,3.867773614831154,43.061966584951335,
R134a,51,8,59,3.1332143206704997,41.88389692944032,3.9612054703742006,42.061966584951335,
R134a,52,8,60,3.043978082084819,42.594352240632986,4.056328818663319,41.061966584951335,
R134a,53,8,61,2.9578763220937834,43.29943021909666,4.153165601509707,40.061966584951335,
R134a,54,8,62,2.874720965827222,43.99915890965785,4.251738113862652,39.061966584951335,
R134a,55,8,63,2.7943378752634245,44.693567040252496,4.352069023920857,38.061966584951335,
R134a,35,10,45,4.86734560125248,31.35846347156656,2.7976443495354397,56.061966584951335,
R134a,36,10,46,4.701548777487502,32.14686074639327,2.870951514999188,55.061966584951335,
R134a,37,10,47,4.5443234770574215,32.92953789184679,2.945690171336127,54.061966584951335,
R134a,38,10,48,4.394986595621035,33.70651720893086,3.021878960766941,53.061966584951335,
R134a,39,10,49,4.252924915710145,34.477821243208545,3.0995367171437858,52.061966584951335,
R134a,40,10,50,4.117586362904028,35.24347280273208,3.178682473798591,51.061966584951335,
R134a,41,10,51,3.988472541136309,36.003494977570604,3.259335471947357,50.061966584951335,
R134a,42,10,52,3.8651323339128436,36.757911161015855,3.341515169693503,49.061966584951335,
R134a,43,10,53,3.747156397884161,37.5067450725633,3.425241251677576,48.061966584951335,
R134a,44,10,54,3.6341724067676697,38.250020782782755,3.510533639425169,47.061966584951335,
R134a,45,10,55,3.525840928857517,38.98776274019421,3.5974125024505255,46.061966584951335,
R134a,46,10,56,3.4218518416631074,39.71999580027163,3.685898270178836,45.061966584951335,
