ac_type,display_name,tons,outdoor_temp_C,fouling_severity_index,average_watts,adjusted_running_watts,cooling_capacity_kW,temperature_multiplier,fouling_multiplier
split_non_inverter,Split AC - Non-inverter,1.5,55,10,1857.0240000000003,2321.28,5.2755,1.24,1.04
window_ac,Window / Wall AC,1.5,30,10,1626.5600000000002,1913.6000000000001,5.2755,0.92,1.04
window_ac,Window / Wall AC,1.5,31,10,1654.848,1946.88,5.2755,0.9359999999999999,1.04
window_ac,Window / Wall AC,1.5,32,10,1683.136,1980.16,5.2755,0.952,1.04
window_ac,Window / Wall AC,1.5,33,10,1711.424,2013.44,5.2755,0.968,1.04
window_ac,Window / Wall AC,1.5,34,10,1739.712,2046.72,5.2755,0.984,1.04
window_ac,Window / Wall AC,1.5,35,10,1768.0,2080.0,5.2755,1.0,1.04
window_ac,Window / Wall AC,1.5,36,10,1796.288,2113.28,5.2755,1.016,1.04
window_ac,Window / Wall AC,1.5,37,10,1824.5759999999998,2146.56,5.2755,1.032,1.04
window_ac,Window / Wall AC,1.5,38,10,1852.864,2179.84,5.2755,1.048,1.04
window_ac,Window / Wall AC,1.5,39,10,1881.1519999999998,2213.12,5.2755,1.064,1.04
window_ac,Window / Wall AC,1.5,40,10,1909.44,2246.4,5.2755,1.08,1.04
window_ac,Window / Wall AC,1.5,41,10,1937.7280000000003,2279.6800000000003,5.2755,1.096,1.04
window_ac,Window / Wall AC,1.5,42,10,1966.016,2312.96,5.2755,1.112,1.04
window_ac,Window / Wall AC,1.5,43,10,1994.304,2346.2400000000002,5.2755,1.1280000000000001,1.04
window_ac,Window / Wall AC,1.5,44,10,2022.5920000000003,2379.5200000000004,5.2755,1.1440000000000001,1.04
window_ac,Window / Wall AC,1.5,45,10,2050.88,2412.8,5.2755,1.16,1.04
window_ac,Window / Wall AC,1.5,46,10,2079.1679999999997,2446.08,5.2755,1.176,1.04
window_ac,Window / Wall AC,1.5,47,10,2107.456,2479.36,5.2755,1.192,1.04
window_ac,Window / Wall AC,1.5,48,10,2135.7439999999997,2512.64,5.2755,1.208,1.04
window_ac,Window / Wall AC,1.5,49,10,2164.032,2545.92,5.2755,1.224,1.04
window_ac,Window / Wall AC,1.5,50,10,2192.32,2579.2000000000003,5.2755,1.24,1.04
window_ac,Window / Wall AC,1.5,51,10,2220.608,2612.48,5.2755,1.256,1.04
window_ac,Window / Wall AC,1.5,52,10,2248.896,2645.76,5.2755,1.272,1.04
window_ac,Window / Wall AC,1.5,53,10,2277.1839999999997,2679.04,5.2755,1.288,1.04
window_ac,Window / Wall AC,1.5,54,10,2305.472,2712.32,5.2755,1.304,1.04
window_ac,Window / Wall AC,1.5,55,10,2333.7599999999998,2745.6,5.2755,1.32,1.04
standing_ac,Standing / Portable AC,1.5,30,10,1974.7800000000002,2194.2000000000003,5.2755,0.92,1.06
standing_ac,Standing / Portable AC,1.5,31,10,2009.1240000000003,2232.36,5.2755,0.9359999999999999,1.06
standing_ac,Standing / Portable AC,1.5,32,10,2043.468,2270.52,5.2755,0.952,1.06
standing_ac,Standing / Portable AC,1.5,33,10,2077.8120000000004,2308.6800000000003,5.2755,0.968,1.06
standing_ac,Standing / Portable AC,1.5,34,10,2112.1560000000004,2346.84,5.2755,0.984,1.06
standing_ac,Standing / Portable AC,1.5,35,10,2146.5,2385.0,5.2755,1.0,1.06
standing_ac,Standing / Portable AC,1.5,36,10,2180.8440000000005,2423.1600000000003,5.2755,1.016,1.06
standing_ac,Standing / Portable AC,1.5,37,10,2215.188,2461.32,5.2755,1.032,1.06
standing_ac,Standing / Portable AC,1.5,38,10,2249.532,2499.48,5.2755,1.048,1.06
standing_ac,Standing / Portable AC,1.5,39,10,2283.876,2537.6400000000003,5.2755,1.064,1.06
standing_ac,Standing / Portable AC,1.5,40,10,2318.2200000000003,2575.8,5.2755,1.08,1.06
standing_ac,Standing / Portable AC,1.5,41,10,2352.5640000000003,2613.96,5.2755,1.096,1.06
standing_ac,Standing / Portable AC,1.5,42,10,2386.9080000000004,2652.1200000000003,5.2755,1.112,1.06
standing_ac,Standing / Portable AC,1.5,43,10,2421.252000000001,2690.2800000000007,5.2755,1.1280000000000001,1.06
standing_ac,Standing / Portable AC,1.5,44,10,2455.5960000000005,2728.4400000000005,5.2755,1.1440000000000001,1.06
standing_ac,Standing / Portable AC,1.5,45,10,2489.9400000000005,2766.6000000000004,5.2755,1.16,1.06
standing_ac,Standing / Portable AC,1.5,46,10,2524.284,2804.76,5.2755,1.176,1.06
standing_ac,Standing / Portable AC,1.5,47,10,2558.628,2842.92,5.2755,1.192,1.06
standing_ac,Standing / Portable AC,1.5,48,10,2592.972,2881.08,5.2755,1.208,1.06
standing_ac,Standing / Portable AC,1.5,49,10,2627.3160000000003,2919.2400000000002,5.2755,1.224,1.06
standing_ac,Standing / Portable AC,1.5,50,10,2661.6600000000003,2957.4,5.2755,1.24,1.06
standing_ac,Standing / Portable AC,1.5,51,10,2696.004,2995.56,5.2755,1.256,1.06
standing_ac,Standing / Portable AC,1.5,52,10,2730.3480000000004,3033.7200000000003,5.2755,1.272,1.06
standing_ac,Standing / Portable AC,1.5,53,10,2764.692,3071.88,5.2755,1.288,1.06
standing_ac,Standing / Portable AC,1.5,54,10,2799.036,3110.04,5.2755,1.304,1.06
standing_ac,Standing / Portable AC,1.5,55,10,2833.38,3148.2000000000003,5.2755,1.32,1.06
