scenario,outdoor_temp_C,fouling_severity_index,COP,monthly_energy_kWh,monthly_cost_QAR,penalty_compared_to_baseline_QAR
Clean baseline,40,0,4.117586362904028,306.00451064039237,55.08081191527062,0.0
High heat,50,0,3.043978082084819,413.932021198072,74.50776381565295,19.426951900382328
High heat + dust,50,20,2.428734026474756,518.7887954239507,93.38198317631111,38.30117126104049
