fluid,T_evap_C,T_cond_C,Tcrit_C,critical_margin_C,T1_C,T2_C,T2s_C,T3_C,T4_C,discharge_temp_C,COP,cooling_effect_kJ_kg,compressor_work_kJ_kg,P_evap_kPa,P_cond_kPa,pressure_ratio,h1_kJ_kg,h2_kJ_kg,h2s_kJ_kg,h3_kJ_kg,h4_kJ_kg,s1_kJ_kgK,s2s_kJ_kgK,s2_kJ_kgK,s3_kJ_kgK,s4_kJ_kgK,x4_quality,warnings,valid,outdoor_temp_C,fouling_severity_index,cop_degradation_percent
R134a,10,60.0,101.06196658495134,41.061966584951335,15.0,79.8356147168073,69.30930676579459,55.0,9.999999999999886,79.8356147168073,3.043978082084819,129.6562746410872,42.594352240632986,414.6074673626597,1681.7842182961679,4.056328818663319,409.01475560916236,451.60910784979535,438.83080217760545,279.3584809680752,279.3584809680752,1.738553859019728,1.738553859019728,1.7753104983696213,1.260183406379603,1.2807916500595866,0.3448722867389073,[],True,50,0,26.07372830091706
R134a,10,61.0,101.06196658495134,40.061966584951335,15.0,81.02463636294516,70.39362399281708,56.0,9.999999999999886,81.02463636294516,2.9578763220937834,128.07435940521805,43.29943021909666,414.6074673626597,1721.933471579657,4.153165601509707,409.01475560916236,452.31418582825904,439.32435676253004,280.9403962039443,280.9403962039443,1.738553859019728,1.738553859019728,1.775797474148572,1.2648834813551848,1.2863784953213533,0.353165816825456,[],True,51,0,28.1648018668959
R134a,10,62.0,101.06196658495134,39.061966584951335,15.0,82.2112805128636,71.47946357360877,57.0,9.999999999999886,82.2112805128636,2.874720965827222,126.48530459635705,43.99915890965785,414.6074673626597,1762.8023712778859,4.251738113862652,409.01475560916236,453.01391451882023,439.8141668459229,282.52945101280534,282.52945101280534,1.738553859019728,1.738553859019728,1.7762767596029423,1.2695884096690293,1.291990555391496,0.36149677765549204,[],True,52,0,30.184318859076576
R134a,10,63.0,101.06196658495134,38.061966584951335,15.0,83.39564526565403,72.56690801699187,58.0,9.999999999999886,83.39564526565403,2.7943378752634245,124.88892716120259,44.693567040252496,414.6074673626597,1804.4003157953089,4.352069023920857,409.01475560916236,453.70832264941487,440.30025253733913,284.1258284479598,284.1258284479598,1.738553859019728,1.738553859019728,1.7767484459381413,1.2742986598147545,1.2976284767588087,0.36986612892523063,[],True,53,0,32.13650840603985
R134a,10,64.0,101.06196658495134,37.061966584951335,15.0,84.5778281574361,73.65603825088851,59.0,9.999999999999886,84.5778281574361,2.7165655445824046,123.28503587682755,45.38268407426891,414.6074673626597,1846.736867314309,4.45418139490227,409.01475560916236,454.3974396834313,440.7826344611506,285.72971973233484,285.72971973233484,1.738553859019728,1.738553859019728,1.7772126233867354,1.2790147188529013,1.3032929347647242,0.378274873161902,[],True,54,0,34.025292849802405
R134a,10,65.0,101.06196658495134,36.061966584951335,15.0,85.75792616997876,74.74693348197286,60.0,9.999999999999886,85.75792616997876,2.6412539368523813,121.67343083715566,46.06654026691412,414.6074673626597,1889.8217615794326,4.558098708642876,409.01475560916236,455.0812958760765,441.26133379600225,287.3413247720067,287.3413247720067,1.738553859019728,1.738553859019728,1.7776693813042619,1.2837370936250299,1.3089846354169294,0.38672405841600843,[],True,55,0,35.854315998133124
R134a,10,54.0,101.06196658495134,47.061966584951335,15.0,72.6459913830758,62.83058491449992,49.0,9.999999999999886,72.6459913830758,3.6341724067676697,139.007170087079,38.250020782782755,414.6074673626597,1455.4934613334897,3.510533639425169,409.01475560916236,447.26477639194513,435.7897701571103,270.0075855220834,270.0075855220834,1.738553859019728,1.738553859019728,1.7722218931441978,1.232060711657365,1.2477671208489498,0.295848210758697,[],True,40,10,11.740226276527173
R134a,10,55.0,101.06196658495134,46.061966584951335,15.0,73.8513703725456,63.90757351402982,50.0,9.999999999999886,73.8513703725456,3.525840928857517,137.4646495939629,38.98776274019421,414.6074673626597,1491.5140866997801,3.5974125024505255,409.01475560916236,448.0025183493566,436.30618952729833,271.5501060151995,271.5501060151995,1.738553859019728,1.738553859019728,1.7727569924691178,1.2367405980778534,1.253214835816692,0.30393520545266184,[],True,41,10,14.371172378499134
R134a,10,56.0,101.06196658495134,45.061966584951335,15.0,75.05377112255968,64.98556309330206,51.0,9.999999999999886,75.05377112255968,3.4218518416631074,135.91594078001037,39.71999580027163,414.6074673626597,1528.2009467552555,3.685898270178836,409.01475560916236,448.734751409434,436.81875266935253,273.09881482915205,273.09881482915205,1.738553859019728,1.738553859019728,1.7732838285740464,1.24142285873553,1.2586844060584454,0.3120546437465606,[],True,42,10,16.896658865710755
R134a,10,57.0,101.06196658495134,44.061966584951335,15.0,76.25329522632433,66.06464313530444,52.0,9.999999999999886,76.25329522632433,3.3219212036310575,134.36090068615974,40.446745256719296,414.6074673626597,1565.5626247646635,3.776011644757127,409.01475560916236,449.4615008658817,437.3274772888659,274.65385492300265,274.65385492300265,1.738553859019728,1.738553859019728,1.7738025004558764,1.246107871874944,1.2641763364622973,0.32020727513395203,[],True,43,10,19.32358156324882
R134a,10,58.0,101.06196658495134,43.061966584951335,15.0,77.45004368370888,67.14490222104257,53.0,9.999999999999886,77.45004368370888,3.22578851624342,132.7993805881916,41.1680368751646,414.6074673626597,1603.6078227772641,3.867773614831154,409.01475560916236,450.18279248432697,437.8323814217776,276.2153750209708,276.2153750209708,1.738553859019728,1.738553859019728,1.7743131055844095,1.2507960286046802,1.2696911522771241,0.3283938793334705,[],True,44,10,21.658266956947216
R134a,10,59.0,101.06196658495134,42.061966584951335,15.0,78.64411690535127,68.22642793542599,54.0,9.999999999999886,78.64411690535127,3.1332143206704997,131.23122566480959,41.88389692944032,414.6074673626597,1642.3453677749603,3.9612054703742006,409.01475560916236,450.89865253860273,438.3334834597706,277.7835299443528,277.7835299443528,1.738553859019728,1.738553859019728,1.7748157399929967,1.2554877336860049,1.2752294002848301,0.3366152680289857,[],True,45,10,23.906530561250353
R134a,10,60.0,101.06196658495134,41.061966584951335,15.0,79.8356147168073,69.30930676579459,55.0,9.999999999999886,79.8356147168073,3.043978082084819,129.6562746410872,42.594352240632986,414.6074673626597,1681.7842182961679,4.056328818663319,409.01475560916236,451.60910784979535,438.83080217760545,279.3584809680752,279.3584809680752,1.738553859019728,1.738553859019728,1.7753104983696213,1.260183406379603,1.2807916500595866,0.3448722867389073,[],True,46,10,26.07372830091706
R134a,10,61.0,101.06196658495134,40.061966584951335,15.0,81.02463636294516,70.39362399281708,56.0,9.999999999999886,81.02463636294516,2.9578763220937834,128.07435940521805,43.29943021909666,414.6074673626597,1721.933471579657,4.153165601509707,409.01475560916236,452.31418582825904,439.32435676253004,280.9403962039443,280.9403962039443,1.738553859019728,1.738553859019728,1.775797474148572,1.2648834813551848,1.2863784953213533,0.353165816825456,[],True,47,10,28.1648018668959
R134a,10,62.0,101.06196658495134,39.061966584951335,15.0,82.2112805128636,71.47946357360877,57.0,9.999999999999886,82.2112805128636,2.874720965827222,126.48530459635705,43.99915890965785,414.6074673626597,1762.8023712778859,4.251738113862652,409.01475560916236,453.01391451882023,439.8141668459229,282.52945101280534,282.52945101280534,1.738553859019728,1.738553859019728,1.7762767596029423,1.2695884096690293,1.291990555391496,0.36149677765549204,[],True,48,10,30.184318859076576
R134a,10,63.0,101.06196658495134,38.061966584951335,15.0,83.39564526565403,72.56690801699187,58.0,9.999999999999886,83.39564526565403,2.7943378752634245,124.88892716120259,44.693567040252496,414.6074673626597,1804.4003157953089,4.352069023920857,409.01475560916236,453.70832264941487,440.30025253733913,284.1258284479598,284.1258284479598,1.738553859019728,1.738553859019728,1.7767484459381413,1.2742986598147545,1.2976284767588087,0.36986612892523063,[],True,49,10,32.13650840603985
R134a,10,64.0,101.06196658495134,37.061966584951335,15.0,84.5778281574361,73.65603825088851,59.0,9.999999999999886,84.5778281574361,2.7165655445824046,123.28503587682755,45.38268407426891,414.6074673626597,1846.736867314309,4.45418139490227,409.01475560916236,454.3974396834313,440.7826344611506,285.72971973233484,285.72971973233484,1.738553859019728,1.738553859019728,1.7772126233867354,1.2790147188529013,1.3032929347647242,0.378274873161902,[],True,50,10,34.025292849802405
R134a,10,65.0,101.06196658495134,36.061966584951335,15.0,85.75792616997876,74.74693348197286,60.0,9.999999999999886,85.75792616997876,2.6412539368523813,121.67343083715566,46.06654026691412,414.6074673626597,1889.8217615794326,4.558098708642876,409.01475560916236,455.0812958760765,441.26133379600225,287.3413247720067,287.3413247720067,1.738553859019728,1.738553859019728,1.7776693813042619,1.2837370936250299,1.3089846354169294,0.38672405841600843,[],True,51,10,35.854315998133124
R134a,10,66.0,101.06196658495134,35.061966584951335,15.0,86.9360357418708,75.83967104770369,61.0,9.999999999999886,86.9360357418708,2.5682634443096237,120.05390290038538,46.74516672593809,414.6074673626597,1933.6649185201993,4.663844891218061,409.01475560916236,455.7599223351005,441.736372317319,288.960852708777,288.960852708777,1.738553859019728,1.738553859019728,1.7781188082675385,1.2884663120581332,1.3147043173408932,0.39521478115832437,[],True,52,10,37.62696837527183
R134a,10,67.0,101.06196658495134,34.061966584951335,15.0,88.11225278248509,76.93432626137144,62.0,9.999999999999886,88.11225278248509,2.497463956977597,118.42623309461207,47.41859547712159,414.6074673626597,1978.2764538040963,4.771444340807508,409.01475560916236,456.43335108628395,442.2077724431475,290.58852251455033,290.58852251455033,1.738553859019728,1.738553859019728,1.77856099217413,1.2932029245650685,1.3204527538790294,0.4037481893960486,[],True,53,10,39.346409841512106
R134a,10,68.0,101.06196658495134,33.061966584951335,15.0,89.28667268990597,78.03097225046196,63.0,9.999999999999886,89.28667268990597,2.428734026474756,116.79019197891425,48.08685953497846,414.6074673626597,2023.6666914244486,4.8809219580561365,409.01475560916236,457.10161514414085,442.6755572836473,292.22456363024816,292.22456363024816,1.738553859019728,1.738553859019728,1.7789960203443207,1.2979475055464988,1.326230755347148,0.41232548602244795,[],True,54,10,41.0155899010256
R134a,10,69.0,101.06196658495134,32.061966584951335,15.0,90.4593903737416,79.12967978936945,64.0,9.999999999999886,90.4593903737416,2.361960113643381,115.14553895725228,48.7499929791945,414.6074673626597,2069.8461774438906,4.992303179222248,409.01475560916236,457.7647485883569,443.13975069459855,293.8692166519101,293.8692166519101,1.738553859019728,1.738553859019728,1.7794239796254605,1.302700654999265,1.3320391714575557,0.4209479324138894,[],True,55,10,42.63726597400252
R134a,10,58.0,101.06196658495134,43.061966584951335,15.0,77.45004368370888,67.14490222104257,53.0,9.999999999999886,77.45004368370888,3.22578851624342,132.7993805881916,41.1680368751646,414.6074673626597,1603.6078227772641,3.867773614831154,409.01475560916236,450.18279248432697,437.8323814217776,276.2153750209708,276.2153750209708,1.738553859019728,1.738553859019728,1.7743131055844095,1.2507960286046802,1.2696911522771241,0.3283938793334705,[],True,40,20,21.658266956947216
R134a,10,59.0,101.06196658495134,42.061966584951335,15.0,78.64411690535127,68.22642793542599,54.0,9.999999999999886,78.64411690535127,3.1332143206704997,131.23122566480959,41.88389692944032,414.6074673626597,1642.3453677749603,3.9612054703742006,409.01475560916236,450.89865253860273,438.3334834597706,277.7835299443528,277.7835299443528,1.738553859019728,1.738553859019728,1.7748157399929967,1.2554877336860049,1.2752294002848301,0.3366152680289857,[],True,41,20,23.906530561250353
R134a,10,60.0,101.06196658495134,41.061966584951335,15.0,79.8356147168073,69.30930676579459,55.0,9.999999999999886,79.8356147168073,3.043978082084819,129.6562746410872,42.594352240632986,414.6074673626597,1681.7842182961679,4.056328818663319,409.01475560916236,451.60910784979535,438.83080217760545,279.3584809680752,279.3584809680752,1.738553859019728,1.738553859019728,1.7753104983696213,1.260183406379603,1.2807916500595866,0.3448722867389073,[],True,42,20,26.07372830091706
R134a,10,61.0,101.06196658495134,40.061966584951335,15.0,81.02463636294516,70.39362399281708,56.0,9.999999999999886,81.02463636294516,2.9578763220937834,128.07435940521805,43.29943021909666,414.6074673626597,1721.933471579657,4.153165601509707,409.01475560916236,452.31418582825904,439.32435676253004,280.9403962039443,280.9403962039443,1.738553859019728,1.738553859019728,1.775797474148572,1.2648834813551848,1.2863784953213533,0.353165816825456,[],True,43,20,28.1648018668959
R134a,10,62.0,101.06196658495134,39.061966584951335,15.0,82.2112805128636,71.47946357360877,57.0,9.999999999999886,82.2112805128636,2.874720965827222,126.48530459635705,43.99915890965785,414.6074673626597,1762.8023712778859,4.251738113862652,409.01475560916236,453.01391451882023,439.8141668459229,282.52945101280534,282.52945101280534,1.738553859019728,1.738553859019728,1.7762767596029423,1.2695884096690293,1.291990555391496,0.36149677765549204,[],True,44,20,30.184318859076576
R134a,10,63.0,101.06196658495134,38.061966584951335,15.0,83.39564526565403,72.56690801699187,58.0,9.999999999999886,83.39564526565403,2.7943378752634245,124.88892716120259,44.693567040252496,414.6074673626597,1804.4003157953089,4.352069023920857,409.01475560916236,453.70832264941487,440.30025253733913,284.1258284479598,284.1258284479598,1.738553859019728,1.738553859019728,1.7767484459381413,1.2742986598147545,1.2976284767588087,0.36986612892523063,[],True,45,20,32.13650840603985
R134a,10,64.0,101.06196658495134,37.061966584951335,15.0,84.5778281574361,73.65603825088851,59.0,9.999999999999886,84.5778281574361,2.7165655445824046,123.28503587682755,45.38268407426891,414.6074673626597,1846.736867314309,4.45418139490227,409.01475560916236,454.3974396834313,440.7826344611506,285.72971973233484,285.72971973233484,1.738553859019728,1.738553859019728,1.7772126233867354,1.2790147188529013,1.3032929347647242,0.378274873161902,[],True,46,20,34.025292849802405
R134a,10,65.0,101.06196658495134,36.061966584951335,15.0,85.75792616997876,74.74693348197286,60.0,9.999999999999886,85.75792616997876,2.6412539368523813,121.67343083715566,46.06654026691412,414.6074673626597,1889.8217615794326,4.558098708642876,409.01475560916236,455.0812958760765,441.26133379600225,287.3413247720067,287.3413247720067,1.738553859019728,1.738553859019728,1.7776693813042619,1.2837370936250299,1.3089846354169294,0.38672405841600843,[],True,47,20,35.854315998133124
R134a,10,66.0,101.06196658495134,35.061966584951335,15.0,86.9360357418708,75.83967104770369,61.0,9.999999999999886,86.9360357418708,2.5682634443096237,120.05390290038538,46.74516672593809,414.6074673626597,1933.6649185201993,4.663844891218061,409.01475560916236,455.7599223351005,441.736372317319,288.960852708777,288.960852708777,1.738553859019728,1.738553859019728,1.7781188082675385,1.2884663120581332,1.3147043173408932,0.39521478115832437,[],True,48,20,37.62696837527183
R134a,10,67.0,101.06196658495134,34.061966584951335,15.0,88.11225278248509,76.93432626137144,62.0,9.999999999999886,88.11225278248509,2.497463956977597,118.42623309461207,47.41859547712159,414.6074673626597,1978.2764538040963,4.771444340807508,409.01475560916236,456.43335108628395,442.2077724431475,290.58852251455033,290.58852251455033,1.738553859019728,1.738553859019728,1.77856099217413,1.2932029245650685,1.3204527538790294,0.4037481893960486,[],True,49,20,39.346409841512106
R134a,10,68.0,101.06196658495134,33.061966584951335,15.0,89.28667268990597,78.03097225046196,63.0,9.999999999999886,89.28667268990597,2.428734026474756,116.79019197891425,48.08685953497846,414.6074673626597,2023.6666914244486,4.8809219580561365,409.01475560916236,457.10161514414085,442.6755572836473,292.22456363024816,292.22456363024816,1.738553859019728,1.738553859019728,1.7789960203443207,1.2979475055464988,1.326230755347148,0.41232548602244795,[],True,50,20,41.0155899010256
R134a,10,69.0,101.06196658495134,32.061966584951335,15.0,90.4593903737416,79.12967978936945,64.0,9.999999999999886,90.4593903737416,2.361960113643381,115.14553895725228,48.7499929791945,414.6074673626597,2069.8461774438906,4.992303179222248,409.01475560916236,457.7647485883569,443.13975069459855,293.8692166519101,293.8692166519101,1.738553859019728,1.738553859019728,1.7794239796254605,1.302700654999265,1.3320391714575557,0.4209479324138894,[],True,51,20,42.63726597400252
R134a,10,70.0,101.06196658495134,31.061966584951335,15.0,91.63050028408225,80.23051712750942,65.0,9.999999999999886,91.63050028408225,2.297035910150299,113.49202154274826,49.40803103740868,414.6074673626597,2116.8256950330406,5.105614012449612,409.01475560916236,458.42278664657107,443.60037733534847,295.5227340664141,295.5227340664141,1.738553859019728,1.738553859019728,1.7798449564990395,1.307463000235309,1.3378788939173971,0.42961685228701174,"['Pressure ratio caution warning: pressure ratio exceeds 5. This is a generic screening threshold, not a compressor-envelope check.']",True,52,20,44.21401987230552
R134a,10,71.0,101.06196658495134,30.061966584951335,15.0,92.80009644813322,81.33354981433655,66.0,9.999999999999886,92.80009644813322,2.2338617253330084,111.82937456155621,50.061010175052566,414.6074673626597,2164.6162809667135,5.220881077555004,409.01475560916236,459.0757657842149,444.05746273169916,297.1853810476062,297.1853810476062,1.738553859019728,1.738553859019728,1.7802590371908538,1.312235197739582,1.3437508592403427,0.4383336358726056,"['Pressure ratio caution warning: pressure ratio exceeds 5. This is a generic screening threshold, not a compressor-envelope check.']",True,53,20,45.74827269056907
R134a,10,72.0,101.06196658495134,29.061966584951335,15.0,93.96827251636012,82.43884052318776,67.0,9.999999999999886,93.96827251636012,2.172343932072182,110.15731935587996,50.70896819308062,414.6074673626597,2213.2292437679916,5.33813164979025,409.01475560916236,459.723723802243,444.5110333443188,298.8574362532824,298.8574362532824,1.738553859019728,1.738553859019728,1.7806663077845946,1.317017934987743,1.3496560515612899,0.44709974409396475,"['Pressure ratio caution warning: pressure ratio exceeds 5. This is a generic screening threshold, not a compressor-envelope check.']",True,54,20,47.242298263779865
R134a,10,73.0,101.06196658495134,28.061966584951335,15.0,95.13512182040137,83.54644887640995,68.0,9.999999999999886,95.13512182040137,2.112394461554018,108.47556280241692,51.35194433458941,414.6074673626597,2262.6761837240947,5.457393708118908,409.01475560916236,460.36669994375177,444.96111664337496,300.53919280674546,300.53919280674546,1.738553859019728,1.738553859019728,1.7810668543393244,1.3218119327615214,1.3555955061029217,0.4559167137129044,"['Pressure ratio caution warning: pressure ratio exceeds 5. This is a generic screening threshold, not a compressor-envelope check.']",True,55,20,48.69823543751489
